Source,Redshift,RA,DEC,Ref.,HSC coverage,HST Coverage,JWST Coverage
HerBS-207,1.569,55:06.5,-30:00:28.3,\cite{Urquhart_2022},No,No,No
SDP.9,1.577,07:40.0,-00:42:00.00,\cite{Negrello_2017},"g, r, i, z, y","F160W, F110W",No
HerBS-109 S,1.5843,29:00.3,19:07.5,\cite{Cox_2023},No,No,No
HerBS-109 NW,1.585,29:00.3,19:18.5,\cite{Cox_2023},No,No,No
HeLMS-14,1.6169,36:19.8,24:17.7,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HeLMS-35,1.6684,25:00.0,-00:56:44.1,\cite{Cox_2023},"g, r, i, z, y",No,No
HATLASJ132427.0+284449,1.676,24:27.0,+28:44:49,\cite{Negrello_2017},No,"F160W, G102,MIRVIS,  G141, F105W, F631N",No
HerBS-6,1.68,24:27.0,+28:44:50,\cite{Cox_2023},No,"F160W, G102,MIRVIS,  G141, F105W, F631N",No
HerS-18 E,1.6926,32:12.3,17:55.6,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HeLMS-32,1.7149,03:37.0,40:12.2,\cite{Cox_2023},"g, r, i, z, y",No,No
SDP.11,1.786,10:43.1,-00:03:20.99,\cite{Negrello_2017},"g, r, i, z, y","F160W,MIRVIS, F110W",No
HeLMS-30,1.8197,10:27.2,-02:46:26.4,\cite{Cox_2023},No,No,No
HerBS-187 W,1.8274,37:05.3,00:32.7,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HerBS-187 E,1.8285,37:05.6,00:31.5,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HerBS-46,1.8349,45:56.3,-00:48:51.8,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HerBS-20,1.84,25:04.4,+31:15:34,\cite{Cox_2023},No,No,No
HerBS-183,1.891,04:53.1,20:16.9,\cite{Cox_2023},"g, r, i, z, y","F110W, F153M",No
HerBS-157,1.8964,49:57.8,07:10.8,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HeLMS-1,1.9047,34:41.0,-06:52:20.2,\cite{Cox_2023},No,F110W,No
HerBS-199 W,1.9197,33:51.4,49:18.9,\cite{Cox_2023},No,No,No
HerBS-199 E,1.9248,33:52.3,49:13.5,\cite{Cox_2023},No,No,No
HeLMS-31,1.9494,13:53.5,-06:02:00.2,\cite{Cox_2023},No,F110W,No
HeLMS-42,1.9558,40:14.3,-07:07:36.5,\cite{Cox_2023},No,F110W,No
